AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
PVD,Theodore Francis Green State Airport,4,0,0,0,0,0,0,0,1,2,1,2024-05-25,0,1600 - 1700,2024-08-05 10:22:49,1,0,0,0,A051,International Arrivals,6,0,6,1
PVD,Theodore Francis Green State Airport,5,0,0,0,0,0,0,1,1,2,1,2024-05-30,0,1800 - 1900,2024-08-05 10:22:59,2,0,0,0,A051,International Arrivals,7,1,7,2
PVD,Theodore Francis Green State Airport,7,0,2,0,0,0,0,9,1,2,1,2024-06-07,0,1100 - 1200,2024-08-05 10:23:08,18,9,11,18,A051,International Arrivals,11,0,0,0
PVD,Theodore Francis Green State Airport,6,0,0,0,0,0,0,1,1,2,1,2024-06-15,0,1300 - 1400,2024-08-05 10:23:16,3,0,0,0,A051,International Arrivals,8,1,8,3
PVD,Theodore Francis Green State Airport,68,0,11,0,0,0,0,8,2,5,1,2024-06-21,0,0100 - 0200,2024-08-05 10:23:25,17,10,6,17,A051,International Arrivals,84,8,78,17
PVD,Theodore Francis Green State Airport,4,0,1,0,0,0,0,11,1,2,1,2024-06-22,0,1800 - 1900,2024-08-05 10:23:25,16,11,7,16,A051,International Arrivals,7,0,0,0
PVD,Theodore Francis Green State Airport,7,0,0,0,0,0,0,1,1,2,1,2024-06-26,0,1200 - 1300,2024-08-05 10:23:34,3,2,3,2,A051,International Arrivals,9,1,6,3
PVD,Theodore Francis Green State Airport,7,0,0,0,0,0,0,2,1,2,1,2024-07-11,0,1200 - 1300,2024-08-05 10:23:52,5,2,9,5,A051,International Arrivals,9,0,0,0
PVD,Theodore Francis Green State Airport,9,0,0,0,0,0,0,2,1,2,1,2024-07-21,0,1000 - 1100,2024-08-05 10:24:01,6,3,8,6,A051,International Arrivals,11,1,3,2
PVD,Theodore Francis Green State Airport,6,0,0,0,0,0,0,4,1,2,1,2024-08-04,0,1100 - 1200,2024-08-12 00:00:00,7,4,7,7,A051,International Arrivals,8,0,1,0
PVD,Theodore Francis Green State Airport,4,0,0,0,0,0,0,3,1,2,1,2024-08-30,0,1300 - 1400,2024-09-07 00:00:00,7,5,2,7,A051,International Arrivals,6,2,4,5
PVD,Theodore Francis Green State Airport,6,0,0,0,0,0,0,1,1,2,1,2024-09-13,0,1500 - 1600,2024-09-21 00:00:00,2,0,0,0,A051,International Arrivals,8,1,8,2
PVD,Theodore Francis Green State Airport,4,0,0,0,0,0,0,2,1,2,1,2024-09-13,0,1600 - 1700,2024-09-21 00:00:00,3,0,0,0,A051,International Arrivals,6,2,6,3
PVD,Theodore Francis Green State Airport,5,0,0,0,0,0,0,1,1,1,1,2024-10-29,0,1500 - 1600,2024-11-06 00:00:00,2,0,1,0,A051,International Arrivals,6,1,5,2
PVD,Theodore Francis Green State Airport,6,0,0,0,0,0,0,1,1,1,1,2024-11-04,0,0900 - 1000,2024-11-12 00:00:00,2,1,7,2,A051,International Arrivals,7,0,0,0
PVD,Theodore Francis Green State Airport,6,0,0,0,0,0,0,1,1,2,1,2024-11-11,0,1900 - 2000,2024-11-19 00:00:00,2,0,0,0,A051,International Arrivals,8,1,8,2
PVD,Theodore Francis Green State Airport,11,0,0,0,0,0,0,3,1,1,1,2025-01-06,0,1600 - 1700,2025-01-14 00:00:00,6,0,0,0,A051,International Arrivals,12,3,12,6
PVD,Theodore Francis Green State Airport,12,0,0,0,0,0,0,0,1,1,1,2025-02-19,0,1900 - 2000,2025-02-27 00:00:00,0,0,0,0,A051,International Arrivals,13,0,13,0
PVD,Theodore Francis Green State Airport,5,0,0,0,0,0,0,0,2,2,1,2025-02-20,0,1800 - 1900,2025-02-28 00:00:00,2,1,5,2,A051,International Arrivals,7,0,2,1
PVD,Theodore Francis Green State Airport,14,0,0,0,0,0,0,3,1,2,1,2025-02-22,0,1800 - 1900,2025-03-02 00:00:03,6,0,0,0,A051,International Arrivals,16,3,16,6
PVD,Theodore Francis Green State Airport,8,0,0,0,0,0,0,2,1,2,1,2025-03-01,0,1400 - 1500,2025-03-09 00:30:01,5,0,1,0,A051,International Arrivals,10,2,9,5
PVD,Theodore Francis Green State Airport,5,0,0,0,0,0,0,1,1,1,1,2025-03-20,0,1000 - 1100,2025-03-28 00:00:00,2,1,6,2,A051,International Arrivals,6,0,0,0
PVD,Theodore Francis Green State Airport,6,0,0,0,0,0,0,1,1,2,1,2025-03-27,0,1500 - 1600,2025-04-04 00:00:00,2,0,0,0,A051,International Arrivals,8,1,8,2
PVD,Theodore Francis Green State Airport,5,0,0,0,0,0,0,0,1,2,1,2025-03-30,0,1700 - 1800,2025-04-07 00:00:01,1,0,0,0,A051,International Arrivals,7,0,7,1
PVD,Theodore Francis Green State Airport,9,0,0,0,0,0,0,7,1,2,1,2025-04-15,0,1500 - 1600,2025-04-23 00:00:00,11,0,0,0,A051,International Arrivals,11,7,11,11
PVD,Theodore Francis Green State Airport,8,0,0,0,0,0,0,1,1,1,1,2025-05-05,0,1300 - 1400,2025-05-13 00:00:00,3,1,9,3,A051,International Arrivals,9,0,0,0
PVD,Theodore Francis Green State Airport,5,0,0,0,0,0,0,1,1,2,1,2025-05-17,0,1200 - 1300,2025-05-25 00:00:00,3,1,7,3,A051,International Arrivals,7,0,0,0
PVD,Theodore Francis Green State Airport,5,0,0,0,0,0,0,1,1,1,1,2025-05-17,0,1300 - 1400,2025-05-25 00:00:00,2,0,0,0,A051,International Arrivals,6,1,6,2
